Keyword,Count
抓,43
外卖,17
，,3735
只是,71
保安,13
也,404
懒得,3
管,30
，,3735
（,156
据,7
可靠消息,1
，,3735
保安,13
抓,43
到,100
一份,4
外卖,17
有,434
50,192
元,2
奖金,1
拿,35
）,161
，,3735
毕竟,35
p,284
事,73
那么,53
多,92
，,3735
（,156
保安,13
不怎么,5
抓,43
是因为,11
有次,4
抓,43
外卖,17
保安,13
直接,30
被,164
胖,1
揍,7
一顿,3
，,3735
虽然,40
后来,23
那个,23
学生,554
被,164
处分,22
就是,136
了,734
）,161
<,2923
br,1962
>,2923
<,2923
br,1962
>,2923
<,2923
br,1962
>,2923
sq,76
好像,27
把,92
自己,194
发表,8
过,76
的,3324
各种,39
书籍,3
和,278
文章,8
放到,2
图书馆,6
重要,16
书籍,3
区,2
（,156
那种,11
不外借,1
只能,28
隔,1
着,67
玻璃,1
看,74
的,3324
）,161
搞,27
个人崇拜,6
。,1630
（,156
导致,9
某些,11
文化,6
程度,4
低,2
的,3324
家长,285
对,236
sq,76
的,3324
疯狂,5
崇拜,1
）,161
<,2923
br,1962
>,2923
<,2923
br,1962
>,2923
<,2923
br,1962
>,2923
说,280
了,734
外卖,17
就,318
再说,11
下,60
快递,15
吧,109
。,1630
以前,13
宝哥,8
带,39
科高,430
的,3324
时候,87
是,908
有,434
专门,6
的,3324
放,5
快递,15
的,3324
教室,11
的,3324
，,3735
无论,6
师生,10
的,3324
快递,15
都,373
可以,103
在,554
那里,9
拿到,2
，,3735
后来,23
说,280
是,908
物流,1
管,30
不好,18
（,156
不,426
知道,122
是不是,35
真的,104
）,161
就,318
搞,27
得禁,1
快递,15
（,156
诶,2
这条,3
好像,27
和,278
sq,76
无关,4
诶,2
）,161
<,2923
br,1962
>,2923
<,2923
br,1962
>,2923
<,2923
br,1962
>,2923
（,156
其实,55
上条,1
只是,71
铺垫,1
啦,7
）,161
后来,23
嘛,10
，,3735
拿,35
快递,15
必须,13
到,100
校门口,3
，,3735
于是,11
sq,76
各种,39
盯,3
校门口,3
，,3735
你,294
来,77
拿,35
快递,15
就,318
代表,18
着,67
你,294
带,39
了,734
手机,304
（,156
黑人,1
微笑,5
？,497
？,497
？,497
）,161
然后,41
就,318
联系,10
家长,285
把,92
你,294
带回去,1
。,1630
<,2923
br,1962
>,2923
<,2923
br,1962
>,2923
<,2923
br,1962
>,2923
噢,5
噢,5
噢,5
差点,1
忘,3
了,734
一条,5
大,40
新闻,9
，,3735
曾经,16
有次,4
sq,76
带领,4
数十位,1
老师,183
深夜,2
十一点半,1
（,156
熄灯,3
时间,21
十点,3
半,5
）,161
夜,2
闯,2
男生宿舍,1
，,3735
只见,1
三个,2
老师,183
一组,1
，,3735
一个,222
老师,183
拿,35
黑色,1
塑料袋,1
（,156
装,7
手机,304
用,73
）,161
一个,222
老师,183
刷卡,1
一个,222
老师,183
撞门,1
而入,1
，,3735
只要,16
你,294
有,434
动静,1
就,318
代表,18
你,294
没,82
睡,2
，,3735
sq,76
理论,4
来,77
了,734
，,3735
你,294
这个,140
时候,87
还,139
不,426
睡觉,4
，,3735
就,318
肯定,7
在,554
干坏事,1
，,3735
手机,304
交,3
出来,42
吧,109
，,3735
没有,167
？,497
搜,7
你,294
床铺,1
，,3735
搜,7
床垫,1
搜,7
枕头,1
（,156
这个,140
是,908
真事,1
，,3735
我们,254
宿舍,28
因为,78
门,4
是,908
坏,5
的,3324
，,3735
刷,5
完卡,1
还要,10
往回,1
拉,3
才能,9
开门,1
，,3735
某,19
主任,10
撞,4
得,39
不轻,2
的,3324
说,280
）,161
<,2923
br,1962
>,2923
<,2923
br,1962
>,2923
<,2923
br,1962
>,2923
据,7
小道消息,2
，,3735
sq,76
收过,1
许多,9
贿赂,6
，,3735
很多,65
学生,554
都,373
是,908
交钱,1
进来,12
的,3324
。,1630
（,156
我们,254
是,908
公立,1
高中,90
好,160
嘛,10
！,144
）,161
<,2923
br,1962
>,2923
<,2923
br,1962
>,2923
<,2923
br,1962
>,2923
<,2923
br,1962
>,2923
说,280
下,60
16,25
年,26
毕业,18
的,3324
这届,4
高三,28
，,3735
sq,76
根本,11
就,318
没,82
怎管,1
，,3735
高一,16
高二上,1
时是,1
宝哥,8
带,39
的,3324
，,3735
sq,76
来,77
了,734
，,3735
各种,39
疏远,1
，,3735
也,404
不,426
传教,2
，,3735
但,126
今年,7
高考,44
出来,42
成绩,71
爆炸,4
，,3735
sq,76
就,318
各种,39
大肆宣传,2
自己,194
的,3324
努力,9
（,156
狗,6
p,284
都,373
没,82
看见,12
，,3735
只,52
看见,12
你,294
各种,39
看,74
摄像头,16
）,161
<,2923
br,1962
>,2923
（,156
其实,55
都,373
是,908
老师,183
们,79
的,3324
功劳,1
）,161
<,2923
br,1962
>,2923
<,2923
br,1962
>,2923
<,2923
br,1962
>,2923
刚刚,4
和,278
别人,31
聊天,9
又,58
想到,28
一件,5
事,73
，,3735
有,434
被,164
sq,76
洗脑,9
的,3324
家长,285
曾,15
讲,21
过,76
，,3735
不能,73
带,39
mp3,2
，,3735
因为,78
会,129
影响,40
孩子,128
听力,1
，,3735
让,95
成绩,71
降低,1
？,497
？,497
？,497
好像,27
我码,1
文章,8
的,3324
时候,87
又,58
有,434
家长,285
说,280
不能,73
带,39
mp3,2
的,3324
。,1630
<,2923
br,1962
>,2923
<,2923
br,1962
>,2923
<,2923
br,1962
>,2923
关于,23
台风,5
天,9
，,3735
我,796
对此,3
保持中立,1
态度,26
，,3735
我,796
只,52
知道,122
当时,35
冒,1
着,67
暴雨,2
我们,254
去,120
上课,25
，,3735
全是,3
湿漉漉,1
的,3324
，,3735
并,73
不是,168
多,92
努力,9
，,3735
只是,71
你,294
不来,1
就要,9
被,164
处分,22
，,3735
晚自习,11
也,404
要,130
来,77
，,3735
没有,167
缺席,1
这一说,1
，,3735
后来,23
因为,78
有人,24
告,4
了,734
第一,27
现场,11
还是,112
什么,155
的,3324
就,318
放,5
了,734
一节,1
晚自习,11
，,3735
变成,14
全校,6
老师,183
来,77
宿舍,28
视察,1
晚自习,11
。,1630
<,2923
br,1962
>,2923
<,2923
br,1962
>,2923
<,2923
br,1962
>,2923
哦,6
对,236
，,3735
科高,430
也,404
是,908
禁止,24
老人,7
机,7
的,3324
，,3735
某些,11
无脑,6
家长,285
认为,43
老人,7
机,7
也,404
能,123
叫外卖,1
快递,15
什么,155
的,3324
所以,65
被,164
杜绝,3
了,734
（,156
之前,23
我们,254
班,14
有人,24
拿,35
老人,7
机,7
破解,33
了,734
还,139
能,123
上,127
微信,7
呢,74
）,161
<,2923
br,1962
>,2923
<,2923
br,1962
>,2923
<,2923
br,1962
>,2923
“,246
校长,339
面对面,5
”,240
活动,10
时,34
，,3735
我,796
曾,15
有幸,2
和,278
工作人员,2
聊过,2
，,3735
ta,6
谈到,1
，,3735
有,434
一些,46
不满,9
sq,76
的,3324
问题,138
的,3324
提问,1
的,3324
学生,554
，,3735
都,373
被,164
后面,9
的,3324
老师,183
记下,1
了,734
名字,14
了,734
......,5
<,2923
br,1962
>,2923
<,2923
br,1962
>,2923
<,2923
br,1962
>,2923
好像,27
sq,76
来,77
了,734
以后,15
，,3735
所有,28
还,139
未,2
完工,1
的,3324
教室,11
都,373
停工,1
了,734
，,3735
物业,1
也,404
变烂,1
了,734
，,3735
食堂,22
说,280
是,908
自理,1
，,3735
越做越,2
烂,1
，,3735
越做越,2
贵,2
，,3735
是不是,35
科高,430
真的,104
那么,53
缺钱,1
，,3735
还是,112
说,280
......,5
<,2923
br,1962
>,2923
<,2923
br,1962
>,2923
（,156
感谢,7
原作者,3
：,178
月,13
）,161
<,2923
br,1962
>,2923
-,734
-,734
-,734
-,734
-,734
-,734
-,734
-,734
-,734
-,734
-,734
-,734
-,734
-,734
-,734
-,734
-,734
-,734
-,734
-,734
以下,15
为,85
转载,10
者,10
补充,7
-,734
-,734
-,734
-,734
-,734
-,734
-,734
-,734
-,734
-,734
-,734
-,734
-,734
-,734
<,2923
br,1962
>,2923
<,2923
br,1962
>,2923
<,2923
br,1962
>,2923
补,2
上,127
一些,46
其他,54
聊天记录,9
<,2923
img,101
 ,2220
data,303
-,734
rawwidth,101
=,1020
"""",1537
720,12
"""",1537
 ,2220
data,303
-,734
rawheight,101
=,1020
"""",1537
1280,27
"""",1537
 ,2220
src,101
=,1020
"""",1537
https,190
:,237
/,1397
/,1397
pic2,47
.,740
zhimg,188
.,740
com,240
/,1397
50,192
/,1397
6df4860231ef105996b3a1a424491961,2
_,327
b,328
.,740
jpg,149
"""",1537
 ,2220
class,174
=,1020
"""",1537
origin,87
_,327
image,101
 ,2220
zh,87
-,734
lightbox,87
-,734
thumb,87
"""",1537
 ,2220
width,101
=,1020
"""",1537
720,12
"""",1537
 ,2220
data,303
-,734
original,87
=,1020
"""",1537
https,190
:,237
/,1397
/,1397
pic2,47
.,740
zhimg,188
.,740
com,240
/,1397
50,192
/,1397
6df4860231ef105996b3a1a424491961,2
_,327
r,87
.,740
jpg,149
"""",1537
>,2923
<,2923
img,101
 ,2220
data,303
-,734
rawwidth,101
=,1020
"""",1537
720,12
"""",1537
 ,2220
data,303
-,734
rawheight,101
=,1020
"""",1537
1280,27
"""",1537
 ,2220
src,101
=,1020
"""",1537
https,190
:,237
/,1397
/,1397
pic3,37
.,740
zhimg,188
.,740
com,240
/,1397
50,192
/,1397
2dae905ea00d3f37b715d55a9666f346,2
_,327
b,328
.,740
jpg,149
"""",1537
 ,2220
class,174
=,1020
"""",1537
origin,87
_,327
image,101
 ,2220
zh,87
-,734
lightbox,87
-,734
thumb,87
"""",1537
 ,2220
width,101
=,1020
"""",1537
720,12
"""",1537
 ,2220
data,303
-,734
original,87
=,1020
"""",1537
https,190
:,237
/,1397
/,1397
pic3,37
.,740
zhimg,188
.,740
com,240
/,1397
50,192
/,1397
2dae905ea00d3f37b715d55a9666f346,2
_,327
r,87
.,740
jpg,149
"""",1537
>,2923
<,2923
br,1962
>,2923
<,2923
br,1962
>,2923
（,156
这个,140
是,908
2016,17
级,27
高一,16
开学,13
前,24
的,3324
事,73
）,161
<,2923
br,1962
>,2923
<,2923
img,101
 ,2220
data,303
-,734
rawwidth,101
=,1020
"""",1537
960,21
"""",1537
 ,2220
data,303
-,734
rawheight,101
=,1020
"""",1537
1280,27
"""",1537
 ,2220
src,101
=,1020
"""",1537
https,190
:,237
/,1397
/,1397
pic4,46
.,740
zhimg,188
.,740
com,240
/,1397
50,192
/,1397
b6888a6c234c86ad0fbad9589ea1f777,2
_,327
b,328
.,740
jpg,149
"""",1537
 ,2220
class,174
=,1020
"""",1537
origin,87
_,327
image,101
 ,2220
zh,87
-,734
lightbox,87
-,734
thumb,87
"""",1537
 ,2220
width,101
=,1020
"""",1537
960,21
"""",1537
 ,2220
data,303
-,734
original,87
=,1020
"""",1537
https,190
:,237
/,1397
/,1397
pic4,46
.,740
zhimg,188
.,740
com,240
/,1397
50,192
/,1397
b6888a6c234c86ad0fbad9589ea1f777,2
_,327
r,87
.,740
jpg,149
"""",1537
>,2923
<,2923
img,101
 ,2220
data,303
-,734
rawwidth,101
=,1020
"""",1537
960,21
"""",1537
 ,2220
data,303
-,734
rawheight,101
=,1020
"""",1537
1280,27
"""",1537
 ,2220
src,101
=,1020
"""",1537
https,190
:,237
/,1397
/,1397
pic4,46
